Date;Time;Open;High;Low;Close;Volume
;;BTC-USD;BTC-USD;BTC-USD;BTC-USD;BTC-USD
2018-08-25;00:00:00;6719.95019531;6789.62988281;6700.95996094;6763.18994141;-982367296
2018-08-26;00:00:00;6754.64013672;6774.75000000;6620.75000000;6707.25976562;-999467296
2018-08-27;00:00:00;6710.79980469;6884.64013672;6689.70996094;6884.64013672;-275967296
2018-08-28;00:00:00;6891.08007812;7109.56005859;6882.33984375;7096.27978516;364972704
2018-08-29;00:00:00;7091.70996094;7113.29980469;6970.81982422;7047.16015625;-149087296
2018-08-30;00:00:00;7043.75976562;7072.68994141;6834.68994141;6978.22998047;168282704
2018-08-31;00:00:00;6973.97021484;7057.16992188;6920.16015625;7037.58007812;200682704
2018-09-01;00:00:00;7044.81005859;7242.29003906;7038.04980469;7193.25000000;-178917296
2018-09-02;00:00:00;7189.58007812;7306.31005859;7132.16015625;7272.72021484;34572704
2018-09-03;00:00:00;7279.02978516;7317.93994141;7208.14990234;7260.06005859;-207207296
2018-09-04;00:00:00;7263.00000000;7388.25976562;7255.43994141;7361.66015625;-21327296
2018-09-05;00:00:00;7361.45996094;7388.43017578;6792.83007812;6792.83007812;1505492704
2018-09-06;00:00:00;6755.14013672;6755.14013672;6404.72021484;6529.16992188;1228502704
2018-09-07;00:00:00;6528.91992188;6555.29003906;6396.87011719;6467.06982422;-30287296
2018-09-08;00:00:00;6460.16992188;6534.25000000;6197.52001953;6225.97998047;-459907296
2018-09-09;00:00:00;6223.37988281;6446.25976562;6201.22021484;6300.85986328;-623077296
2018-09-10;00:00:00;6301.56982422;6374.97998047;6292.75976562;6329.70019531;-580867296
2018-09-11;00:00:00;6331.87988281;6398.91992188;6260.20996094;6321.20019531;-445057296
2018-09-12;00:00:00;6317.00976562;6363.87011719;6265.08984375;6351.79980469;-230737296
2018-09-13;00:00:00;6354.24023438;6535.41015625;6354.24023438;6517.31005859;-84057296
2018-09-14;00:00:00;6515.41015625;6596.10009766;6456.16992188;6512.70996094;-218747296
2018-09-15;00:00:00;6509.39990234;6561.72021484;6493.54980469;6543.20019531;-1078667296
2018-09-16;00:00:00;6536.68017578;6544.33007812;6460.10009766;6517.18017578;-1021237296
2018-09-17;00:00:00;6514.06005859;6540.20996094;6257.52001953;6281.20019531;-384187296
2018-09-18;00:00:00;6280.91015625;6384.18017578;6265.70996094;6371.29980469;-114877296
2018-09-19;00:00:00;6371.85009766;6448.45996094;6208.33984375;6398.54003906;136372704
2018-09-20;00:00:00;6398.85009766;6529.25976562;6395.95019531;6519.66992188;53142704
2018-09-21;00:00:00;6513.87011719;6794.33007812;6496.35986328;6734.95019531;-2057994592
2018-09-22;00:00:00;6735.04980469;6814.56005859;6616.79980469;6721.97998047;214692704
2018-09-23;00:00:00;6715.31982422;6766.14990234;6679.41992188;6710.62988281;-97467296
2018-09-24;00:00:00;6704.77001953;6713.56005859;6580.89990234;6595.41015625;-117657296
2018-09-25;00:00:00;6603.64013672;6603.64013672;6381.85986328;6446.47021484;431212704
2018-09-26;00:00:00;6452.79003906;6585.91015625;6397.89013672;6495.00000000;142332704
2018-09-27;00:00:00;6495.29003906;6712.10009766;6464.95019531;6676.75000000;311842704
2018-09-28;00:00:00;6678.75000000;6785.02978516;6598.31982422;6644.12988281;719462704
2018-09-29;00:00:00;6643.10009766;6643.10009766;6511.64990234;6601.95996094;68722704
2018-09-30;00:00:00;6604.70996094;6643.77978516;6566.54003906;6625.56005859;-292687296
2018-10-01;00:00:00;6619.85009766;6653.29980469;6549.08007812;6589.62011719;-293997296
2018-10-02;00:00:00;6593.24023438;6611.83984375;6537.89990234;6556.10009766;-315707296
2018-10-03;00:00:00;6553.85986328;6571.45996094;6454.02978516;6502.58984375;-407657296
2018-10-04;00:00:00;6497.91015625;6603.31005859;6497.91015625;6576.68994141;-456557296
2018-10-05;00:00:00;6574.14990234;6623.62011719;6557.41015625;6622.47998047;-623467296
2018-10-06;00:00:00;6622.45019531;6628.54003906;6577.79980469;6588.31005859;-1035227296
2018-10-07;00:00:00;6590.68017578;6641.49023438;6557.04003906;6602.95019531;-988337296
2018-10-08;00:00:00;6600.18994141;6675.06005859;6576.04003906;6652.22998047;-315507296
2018-10-09;00:00:00;6653.08007812;6661.41015625;6606.93994141;6642.64013672;-714157296
2018-10-10;00:00:00;6640.29003906;6640.29003906;6538.95996094;6585.52978516;-507317296
2018-10-11;00:00:00;6586.74023438;6586.74023438;6243.74023438;6256.24023438;886672704
2018-10-12;00:00:00;6239.25000000;6328.50000000;6236.47021484;6274.58007812;-511467296
