Gmt time,Open,High,Low,Close,Volume
10.08.2018 00:00:00.000,6477,6513,6085,6128,3.2809
11.08.2018 00:00:00.000,6128,6128,6128,6128,0
12.08.2018 00:00:00.000,6279,6333,6237,6253,0.3904
13.08.2018 00:00:00.000,6253,6471,6095,6192,3.8704
14.08.2018 00:00:00.000,6192,6206,5827,6134,5.6887
15.08.2018 00:00:00.000,6134,6556,6126,6209,4.1532
16.08.2018 00:00:00.000,6209,6414,6155,6253,4.6684
17.08.2018 00:00:00.000,6253,6491,6233,6415,4.8976
18.08.2018 00:00:00.000,6415,6415,6415,6415,0
19.08.2018 00:00:00.000,6469,6485,6418,6424,0.3561
20.08.2018 00:00:00.000,6424,6461,6173,6198,3.1942
21.08.2018 00:00:00.000,6198,6434,6190,6416,3.2192
22.08.2018 00:00:00.000,6416,6814,6192,6297,4.5451
23.08.2018 00:00:00.000,6297,6504,6287,6465,2.9945
24.08.2018 00:00:00.000,6465,6582,6395,6551,2.796
25.08.2018 00:00:00.000,6551,6551,6551,6551,0
26.08.2018 00:00:00.000,6619,6657,6606,6647,0.2768
27.08.2018 00:00:00.000,6648,6877,6595,6849,2.931
28.08.2018 00:00:00.000,6849,7065,6806,7016,3.4945
29.08.2018 00:00:00.000,7016,7060,6852,6972,3.3177
30.08.2018 00:00:00.000,6972,6993,6739,6924,3.2698
31.08.2018 00:00:00.000,6924,7027,6830,6988,2.5071
01.09.2018 00:00:00.000,6988,6988,6988,6988,0
02.09.2018 00:00:00.000,7224,7246,7209,7234,0.2407
03.09.2018 00:00:00.000,7235,7271,7134,7200,2.8912
04.09.2018 00:00:00.000,7200,7344,7174,7300,2.6522
05.09.2018 00:00:00.000,7300,7327,6611,6628,3.8039
06.09.2018 00:00:00.000,6628,6653,6211,6441,4.8585
07.09.2018 00:00:00.000,6441,6472,6269,6385,2.9255
08.09.2018 00:00:00.000,6385,6385,6385,6385,0
09.09.2018 00:00:00.000,6328,6333,6154,6179,0.496
10.09.2018 00:00:00.000,6179,6296,6170,6251,3.4427
11.09.2018 00:00:00.000,6250,6345,6121,6226,3.3199
12.09.2018 00:00:00.000,6226,6283,6142,6271,3.5677
13.09.2018 00:00:00.000,6271,6467,6269,6428,3.1159
14.09.2018 00:00:00.000,6428,6522,6331,6475,2.4286
15.09.2018 00:00:00.000,6475,6475,6475,6475,0
16.09.2018 00:00:00.000,6441,6446,6420,6438,0.2103
17.09.2018 00:00:00.000,6438,6470,6150,6192,2.9377
18.09.2018 00:00:00.000,6192,6324,6169,6276,2.2483
19.09.2018 00:00:00.000,6276,6454,6051,6329,1.7337
20.09.2018 00:00:00.000,6330,6476,6280,6433,2.0399
21.09.2018 00:00:00.000,6433,6717,6432,6658,3.2697
22.09.2018 00:00:00.000,6658,6658,6658,6658,0
23.09.2018 00:00:00.000,6619,6658,6610,6643,0.2712
24.09.2018 00:00:00.000,6644,6661,6497,6523,2.5084
25.09.2018 00:00:00.000,6523,6523,6271,6375,3.476
26.09.2018 00:00:00.000,6375,6485,6322,6399,2.4467
27.09.2018 00:00:00.000,6400,6672,6374,6623,2.7219
28.09.2018 00:00:00.000,6623,6736,6478,6588,3.0476
29.09.2018 00:00:00.000,6588,6588,6588,6588,0
30.09.2018 00:00:00.000,6503,6581,6494,6551,0.3202
01.10.2018 00:00:00.000,6551,6587,6446,6528,2.4233
02.10.2018 00:00:00.000,6528,6553,6400,6462,1.8199
03.10.2018 00:00:00.000,6462,6473,6353,6428,2.1231
04.10.2018 00:00:00.000,6428,6565,6415,6515,1.6725
05.10.2018 00:00:00.000,6515,6548,6472,6509,1.2805
06.10.2018 00:00:00.000,6509,6509,6509,6509,0
07.10.2018 00:00:00.000,6485,6551,6476,6536,0.1464
08.10.2018 00:00:00.000,6537,6637,6497,6584,1.4035
09.10.2018 00:00:00.000,6584,6609,6510,6575,1.0646
